,Unnamed: 0,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,volume (m^3)
0,0,2001981,1981 Midas (1973 EA),-0.6393733376910644,True,0,1.5446091716732978e-36,229,1,1.6324860609305176,0.04594971112215732,1973-03-06,2021-10-20,3,1.1977498956249287e-100
1,1,2002059,2059 Baboquivari (1963 UA),-0.6392877925630488,False,0,1.5446091716732978e-36,268,0,2.5359892251990646,0.04692736197258659,1963-10-16,2021-04-15,1,1.1977498956249287e-100
2,2,2002061,2061 Anza (1960 UA),-0.6392433090964807,False,0,1.5446091716732978e-36,180,0,2.202868049309247,0.04646758117172345,1960-10-22,2021-06-12,1,1.1977498956249287e-100
3,3,2002062,2062 Aten (1976 AA),-0.639158904570172,False,0,1.5446091716732978e-36,149,2,1.8249790101079972,0.04310898435149941,1955-12-17,2019-11-10,2,1.1977498956249287e-100
4,4,2002063,2063 Bacchus (1977 HB),-0.6391383737394483,False,0,1.5446091716732978e-36,143,1,1.7184395376210764,0.04383381493130022,1977-04-24,2021-12-02,3,1.1977498956249287e-100
5,5,2002100,2100 Ra-Shalom (1978 RA),-0.6392581369186701,False,0,1.5446091716732978e-36,278,2,1.4946410469195017,0.043242049606816164,1975-10-03,2021-12-02,2,1.1977498956249287e-100
6,6,2002101,2101 Adonis (1936 CA),-0.6389832519073133,True,0,1.5446091716732978e-36,45,1,1.474061823453097,0.04631381425001926,1936-02-21,2020-06-09,3,1.1977498956249287e-100
7,7,2002102,2102 Tantalus (1975 YA),-0.6392843707579282,True,0,1.5446091716732978e-36,222,1,1.9782999072010705,0.04426080363737135,1975-12-30,2021-09-22,3,1.1977498956249287e-100
8,8,2002135,2135 Aristaeus (1977 HA),-0.6390539692131396,True,0,1.5446091716732978e-36,24,1,1.830597316853457,0.045350321157084136,1977-04-17,2020-05-30,3,1.1977498956249287e-100
9,9,2002201,2201 Oljato (1947 XC),-0.6393699158859437,True,0,1.5446091716732978e-36,234,1,1.635223899913497,0.046675308674159255,1931-12-03,2021-09-16,3,1.1977498956249287e-100
10,10,2002202,2202 Pele (1972 RA),-0.6391532015616376,False,0,1.5446091716732978e-36,75,0,2.3148904810170245,0.04645635407253269,1972-09-07,2022-03-30,1,1.1977498956249287e-100
11,11,2002212,2212 Hephaistos (1978 SB),-0.6395660993795261,False,0,1.5446091716732978e-36,533,1,1.4127796145618339,0.0468667667118875,1978-09-27,2022-03-14,3,1.1977498956249287e-100
12,12,2002329,2329 Orthos (1976 WA),-0.6394486174037181,False,0,1.5446091716732978e-36,360,1,1.8809127232490621,0.04687944617533686,1976-05-31,2022-03-07,3,1.1977498956249287e-100
