,Unnamed: 0,is_potentially_hazardous_asteroid
0,17254,0
1,16569,0
2,10589,0
3,8198,0
4,14317,0
5,10507,0
6,1500,0
7,23471,1
8,12792,0
9,2,0
10,11361,1
11,12312,0
12,6377,0
13,5555,0
14,22426,0
15,8197,0
16,7794,0
17,5110,0
18,19077,0
19,6616,0
20,22931,0
21,6914,0
22,23912,0
23,3061,0
24,20077,0
25,6594,0
26,12482,0
27,3652,1
28,1466,0
29,137,1
30,23967,0
31,19896,0
32,5272,0
33,22223,1
34,20459,0
35,665,0
36,23364,0
37,6179,0
38,17273,1
39,13227,0
40,5731,0
41,4163,0
42,3004,1
43,5945,0
44,15249,0
45,700,0
46,11108,0
47,8808,0
48,1517,0
49,371,0
50,11180,0
51,23612,0
52,3349,0
53,6351,0
54,5607,0
55,7335,1
56,19072,0
57,13604,0
58,1266,1
59,11407,0
60,17946,0
61,19665,0
62,19155,0
63,3633,1
64,1792,0
65,15003,0
66,20333,0
67,21108,0
68,12392,0
69,16745,0
70,16867,0
71,18859,0
72,15097,0
73,1849,0
74,17370,0
75,16426,0
76,17068,0
77,12824,0
78,18996,0
79,12735,0
80,20558,0
81,13561,0
82,9043,0
83,17673,1
84,9485,0
85,19795,0
86,15115,0
87,2971,0
88,17539,0
89,1901,0
90,22676,0
91,759,1
92,19506,0
93,16901,0
94,23309,0
95,19956,0
96,19640,0
97,12611,0
98,10432,0
99,21567,0
100,21628,0
101,14220,0
102,6680,0
103,8871,0
104,16942,0
105,18706,0
106,7575,0
107,15223,1
108,10878,0
109,20417,0
110,7218,0
111,3102,1
112,19792,0
113,21571,1
114,15053,0
115,15353,0
116,7889,0
117,14968,0
118,4224,0
119,2951,0
120,15176,0
121,10868,0
122,21504,0
123,15050,0
124,11012,0
125,2121,0
126,23990,0
127,8222,0
128,9337,0
129,4327,0
130,23961,0
131,13378,0
132,10607,1
133,14541,0
134,22669,0
135,21627,0
136,20193,0
137,488,0
138,12036,0
139,13850,0
140,14636,1
141,22672,0
142,16501,0
143,23881,0
144,3092,0
145,12417,0
146,623,0
147,21939,0
148,3209,0
149,2552,1
150,20128,0
151,2628,1
152,22307,0
153,1458,0
154,9512,0
155,6498,0
156,2636,0
157,16304,0
158,19113,0
159,15042,0
160,22836,0
161,21326,0
162,9184,1
163,6313,0
164,20397,0
165,16864,0
166,6804,0
167,18274,0
168,7755,0
169,22657,0
170,11556,0
171,9064,0
172,9697,0
173,21340,0
174,13600,0
175,17001,0
176,23488,0
177,4406,1
178,11832,0
179,21366,0
180,2654,0
181,17146,0
182,9131,1
183,3629,0
184,12809,0
185,13931,0
186,19216,0
187,4932,0
188,9989,1
189,11944,0
190,12042,0
191,10051,0
192,18149,0
193,5447,0
194,1309,0
195,9743,0
196,21388,0
197,19505,0
198,5084,0
199,12916,0
200,20079,0
201,162,0
202,23401,0
203,6832,0
204,4375,0
205,9915,0
206,167,0
207,16389,0
208,14936,0
209,23580,0
210,5643,0
211,16259,0
212,7884,0
213,9693,0
214,14557,0
215,17297,0
216,17283,0
217,21230,0
218,6652,0
219,17503,1
220,20219,0
221,9102,0
222,62,1
223,14807,0
224,14924,0
225,56,0
226,10884,0
227,10345,0
228,13128,0
229,13813,1
230,3414,0
231,11295,0
232,16486,0
233,17829,0
234,17876,0
235,11371,0
236,20657,0
237,17967,0
238,8068,0
239,4811,0
240,20258,0
241,18536,0
242,4482,0
243,12926,0
244,3074,0
245,8588,1
247,16583,0
248,12649,0
249,2876,0
250,8260,0
251,19478,0
252,16121,0
253,17769,1
254,5501,0
255,19912,0
256,1893,1
257,9608,0
258,7547,0
259,5640,0
260,3656,0
261,17675,0
262,14227,0
263,12930,0
264,23549,0
265,11574,0
266,9648,0
267,12971,0
268,10865,0
269,1622,0
270,19668,0
271,17087,0
272,14338,0
273,5331,0
274,3221,0
275,4403,0
276,14696,0
277,15112,0
278,7712,0
279,19784,0
280,2246,1
281,3093,0
282,23574,0
283,1107,0
284,20954,0
285,14018,0
286,7634,0
287,5177,0
288,5668,0
289,3983,0
290,17686,0
291,5801,0
292,20681,0
293,12172,0
294,8941,0
295,572,0
296,9557,0
297,19719,0
298,21828,0
299,15033,0
300,150,0
301,1069,0
302,23086,0
303,5631,0
304,19343,0
305,6632,1
306,22804,0
307,5080,0
308,8037,0
309,7087,0
310,12115,0
311,20486,0
312,15430,0
313,6005,1
314,6941,0
315,22439,0
316,15939,0
317,18521,1
318,17716,0
319,9573,0
320,926,0
321,12896,0
322,793,0
323,14551,0
324,17536,0
325,1186,1
326,4862,0
327,12813,0
328,106,0
329,12514,0
330,1695,0
331,20469,0
332,2090,0
333,10154,0
334,3846,0
335,22699,0
336,2955,0
337,14932,0
338,342,0
339,47,0
340,785,1
341,23603,0
342,11037,0
343,13044,0
344,3111,0
345,9664,0
346,7668,0
347,14785,0
348,15640,0
349,11234,0
350,3454,0
351,14888,0
352,3578,0
353,6086,0
354,12875,0
355,11081,0
356,20680,0
357,15856,0
358,6806,1
359,3256,0
360,5852,0
361,5423,0
362,4618,1
363,15044,0
364,23793,0
365,23619,0
366,3605,0
367,11132,0
368,1872,1
369,13237,0
370,17055,0
371,1668,0
372,20084,0
373,9119,0
374,1144,1
375,1738,0
376,10362,0
377,19984,0
378,3676,0
379,6230,0
380,18755,0
381,15948,1
382,4303,0
383,12519,0
384,15393,0
385,17707,0
386,11848,0
387,19820,0
388,17282,0
389,17124,0
390,698,0
391,12400,0
392,20182,0
393,12628,0
394,4052,0
395,10277,0
396,2471,0
397,12085,0
398,14699,0
399,476,1
400,9618,0
401,19424,0
402,20119,0
403,7474,0
404,15463,0
405,9691,0
406,7893,0
407,15428,1
408,22028,0
409,13050,0
410,10418,0
411,776,0
412,2651,0
413,17846,0
414,19018,0
415,5381,0
416,6398,0
417,23723,0
418,5691,0
419,1549,1
420,10100,0
421,2326,1
422,12503,0
423,1157,0
424,4799,0
425,17956,0
426,17474,0
427,9858,0
428,12845,0
429,23337,0
430,942,1
431,12313,0
432,6540,0
433,14404,0
434,23,0
435,4971,1
436,16390,0
437,8525,0
438,8939,0
439,15457,1
440,14967,0
441,11491,0
442,10579,0
443,21459,0
444,17817,1
445,13458,0
446,8495,0
447,7550,0
448,10895,0
449,22753,0
450,23025,0
451,21001,0
452,16394,0
453,16688,0
454,3473,0
455,23653,0
456,14004,0
457,18717,0
458,9875,1
459,4569,0
460,9753,0
461,14758,0
462,17644,0
463,3776,0
464,10844,0
465,23250,0
466,7536,0
467,6799,0
468,16338,1
469,11406,0
470,18511,0
471,21179,0
472,21478,0
473,21427,0
474,12137,0
475,20998,0
476,20672,0
477,11842,1
478,20141,0
479,21826,0
480,13592,0
481,65,1
482,20545,0
483,14545,0
484,15403,0
485,16747,0
486,20250,0
487,5375,0
488,14343,0
489,14005,0
490,14170,0
491,15724,0
492,11328,0
493,4354,0
494,20216,0
495,17235,0
496,17072,0
497,23034,0
498,16010,0
499,20625,0
500,23870,0
501,10137,0
502,10404,0
503,22878,0
504,14129,0
505,10082,0
506,10541,0
507,15258,1
508,7297,0
