,is_potentially_hazardous_asteroid
17254,False
16569,False
10589,False
8198,False
14317,False
10507,False
1500,False
23471,True
12792,False
2,False
11361,True
12312,False
6377,False
5555,False
22426,False
8197,False
7794,False
5110,False
19077,False
6616,False
22931,False
6914,False
23912,False
3061,False
20077,False
6594,False
12482,False
3652,True
1466,False
137,True
23967,False
19896,False
5272,False
22223,True
20459,False
665,False
23364,False
6179,False
17273,True
13227,False
5731,False
4163,False
3004,True
5945,False
15249,False
700,False
11108,False
8808,False
1517,False
371,False
11180,False
23612,False
3349,False
6351,False
5607,False
7335,True
19072,False
13604,False
1266,True
11407,False
17946,False
19665,False
19155,False
3633,True
1792,False
15003,False
20333,False
21108,False
12392,False
16745,False
16867,False
18859,False
15097,False
1849,False
17370,False
16426,False
17068,False
12824,False
18996,False
12735,False
20558,False
13561,False
9043,False
17673,True
9485,False
19795,False
15115,False
2971,False
17539,False
1901,False
22676,False
759,True
19506,False
16901,False
23309,False
19956,False
19640,False
12611,False
10432,False
21567,False
21628,False
14220,False
6680,False
8871,False
16942,False
18706,False
7575,False
15223,True
10878,False
20417,False
7218,False
3102,True
19792,False
21571,True
15053,False
15353,False
7889,False
14968,False
4224,False
2951,False
15176,False
10868,False
21504,False
15050,False
11012,False
2121,False
23990,False
8222,False
9337,False
4327,False
23961,False
13378,False
10607,True
14541,False
22669,False
21627,False
20193,False
488,False
12036,False
13850,False
14636,True
22672,False
16501,False
23881,False
3092,False
12417,False
623,False
21939,False
3209,False
2552,True
20128,False
2628,True
22307,False
1458,False
9512,False
6498,False
2636,False
16304,False
19113,False
15042,False
22836,False
21326,False
9184,True
6313,False
20397,False
16864,False
6804,False
18274,False
7755,False
22657,False
11556,False
9064,False
9697,False
21340,False
13600,False
17001,False
23488,False
4406,True
11832,False
21366,False
2654,False
17146,False
9131,True
3629,False
12809,False
13931,False
19216,False
4932,False
9989,True
11944,False
12042,False
10051,False
18149,False
5447,False
1309,False
9743,False
21388,False
19505,False
5084,False
12916,False
20079,False
162,False
23401,False
6832,False
4375,False
9915,False
167,False
16389,False
14936,False
23580,False
5643,False
16259,False
7884,False
9693,False
14557,False
17297,False
17283,False
21230,False
6652,False
17503,True
20219,False
9102,False
62,True
14807,False
14924,False
56,False
10884,False
10345,False
13128,False
13813,True
3414,False
11295,False
16486,False
17829,False
17876,False
11371,False
20657,False
17967,False
8068,False
4811,False
20258,False
18536,False
4482,False
12926,False
3074,False
8588,True
10055,False
16583,False
12649,False
2876,False
8260,False
19478,False
16121,False
17769,True
5501,False
19912,False
1893,True
9608,False
7547,False
5640,False
3656,False
17675,False
14227,False
12930,False
23549,False
11574,False
9648,False
12971,False
10865,False
1622,False
19668,False
17087,False
14338,False
5331,False
3221,False
4403,False
14696,False
15112,False
7712,False
19784,False
2246,True
3093,False
23574,False
1107,False
20954,False
14018,False
7634,False
5177,False
5668,False
3983,False
17686,False
5801,False
20681,False
12172,False
8941,False
572,False
9557,False
19719,False
21828,False
15033,False
150,False
1069,False
23086,False
5631,False
19343,False
6632,True
22804,False
5080,False
8037,False
7087,False
12115,False
20486,False
15430,False
6005,True
6941,False
22439,False
15939,False
18521,True
17716,False
9573,False
926,False
